Trade Date,ISIN,YTM / Yield
February 2005,IN002004Z018,5.53
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020030097,6.79
February 2005,IN0020040039,7.45
February 2005,IN0020020130,6.72
February 2005,IN0019990137,7.09
February 2005,IN0020020064,6.44
February 2005,IN0019880031,6.46
February 2005,IN0020040039,7.40
February 2005,IN0020010057,6.68
February 2005,IN0020020130,6.71
February 2005,IN002004Z018,5.53
February 2005,IN0020020130,6.71
February 2005,IN0019980047,6.37
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN0020020015,6.43
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020010057,6.67
February 2005,IN0020020247,7.06
February 2005,IN2020020011,7.26
February 2005,IN0020030022,7.17
February 2005,IN0020030022,7.15
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN002004Z018,5.08
February 2005,IN002004Z018,5.09
February 2005,IN0020040039,7.45
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.71
February 2005,IN3119910013,6.93
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0019870073,5.81
February 2005,IN0019990137,7.09
February 2005,IN0020010057,6.68
February 2005,IN0020010057,6.68
February 2005,IN0020020163,6.79
February 2005,IN0020020247,7.07
February 2005,IN0020020098,6.91
February 2005,IN0020020171,6.89
February 2005,IN0020020130,6.71
February 2005,IN0020020163,6.84
February 2005,IN0019980047,6.37
February 2005,IN0020020130,6.71
February 2005,IN002004Z018,5.58
February 2005,IN0019990038,5.73
February 2005,IN0019990038,5.73
February 2005,IN0020020130,6.71
February 2005,IN0019990038,5.73
February 2005,IN0020020130,6.71
February 2005,IN002004X013,5.18
February 2005,IN0020040039,7.45
February 2005,IN0020020163,6.82
February 2005,IN002004Z018,5.38
February 2005,IN3120020026,7.10
February 2005,IN0020030097,6.77
February 2005,IN1520040057,7.10
February 2005,IN2220040058,7.14
February 2005,IN2220010044,7.11
February 2005,IN1520010050,7.11
February 2005,IN002004Z018,5.45
February 2005,IN002003Z010,5.48
February 2005,IN002004X013,5.17
February 2005,IN002004Z018,5.58
February 2005,IN002003Z010,5.48
February 2005,IN0020010057,6.66
February 2005,IN0020010057,6.66
February 2005,IN0020020015,6.42
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN1019990044,7.04
February 2005,IN002004Z018,5.32
February 2005,IN002004Z018,5.33
February 2005,IN2919990035,7.04
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.72
February 2005,IN0020020130,6.72
February 2005,IN002003Z010,5.48
February 2005,IN0019880031,6.38
February 2005,IN0019880031,6.42
February 2005,IN002003Z010,5.48
February 2005,IN0020010057,6.66
February 2005,IN002004X013,4.89
February 2005,IN0020020130,6.71
February 2005,IN002004X013,5.06
